"Type","land Mark","Bathroom","categoryName","price","Bedroom","Floor","Kitchen","Living Room","name","location/locationDescription","location/locationLatitude","location/locationLongitude"
"House - Individual",,"1","For Rent - Flat & Apartment","8000","1","1",,"0","Single Room","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"5","For Sale - House","42000000","7","2.5","2","2","House For Sale At Dholahiti","Dholahiti Bus Station, Thecho Chapagaun Road, Lalitpur-26, Lalitpur","0","0"
"Land - Individual",,,"For Sale - Land","36000000",,,,,"Land For Sale at Rudreshwor, Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"2","For Rent - Flat & Apartment","35000","3","First",,"1","3BHK (2 Bathroom) Flat Rent in Bagdol, Lalitpur","Bagdol, Lalitpur-4, Lalitpur","27.669660568237305","85.30352020263672"
"Land - Individual",,,"For Sale - Land","60200000",,,,,"Land For Sale at Budhanilkantha, Kathmandu","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","18800000",,,,,"Land For Sale at Bhangal, Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","4650000",,,,,"Budhanilakantha Hight ma 10 Aana Jagga Bikrima","Budhanilakantha, Budhanilakantha-2, Kathmandu","27.765487670898438","85.3651351928711"
"HouseIndividual",,"5","For Sale - House","42500000","5","-","2","2","HOUSE FOR SALE IN SHITAL HEIGHT IMADOL LALITPUR ","Shital Height Pharmacy, Mahalaxmi-4, Lalitpur","27.65035057067871","85.34807586669922"
"Land - Commercial Use",,,"For Sale - Land","6500000",,,,,"11 Aana Land For Sale In Banasthali/balaju","Jamacho Marg, Buddha Chowk, Aerahiti, Nagarjun, Nagarjun Municipality, Kathmandu","27.729923248291016","85.28804016113281"
"Land - Individual",,,"For Sale - Land","15700000",,,,,"Land For Sale at Rudreshwor, Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","27500000",,,,,"Land On Sale at Sukedhara, Ekatabasti","Location","27.717199325561523","85.3239974975586"
"Land - Individual",,,"For Sale - Land","2400000",,,,,"4.5/5.5 Aana Land For Sale In Lamatar","Sisneri Higher Secondary School, Gwarko-Lamatar, Lamatar, Mahalaxmi, Mahalaxmi Municipality, Lalitpur","27.62769317626953","85.396240234375"
"House In a Colony",,"2","For Rent - House","80000","4","2","1","2","House for rent at Deep housing, pokhara","Lamachaur Marg, Tallo Dip, Pokhara, Kaski","28.2486572265625","83.9861068725586"
"HouseIndividual",,"1","For Rent - Flat & Apartment","14000","1","First",,"0","1BK Flat Rent in Kalanki, Inside Ringroad, KTM","Kalanki Mai Mandir - कलंकी माई मन्दिर, Samajik Marg, Kathmandu-14, Kathmandu","27.694110870361328","85.28511810302734"
"Land - Individual",,,"For Sale - Land","39900000",,,,,"Land For Sale at Ganesh Chowk, Bhangal","Location","27.717199325561523","85.3239974975586"
"HouseInColony",,"5","For Sale - House","10","4","-","1","1","HOUSE FOR SALE IN BHAISEPATI LALITPUR ","Bhaisepati, Lalitpur, Lalitpur-18, Lalitpur","27.65118980407715","85.2989730834961"
"House - Individual",,"4","For Rent - Flat & Apartment","56000","4","2",,"2","4bhk Duplex Flat On Rent At Chabahil With Car Park","Maiju Bahal, Chabahil, Kathmandu Metropolitan City, Kathmandu","27.717073440551758","85.34675598144531"
"House - Individual",,"0","For Sale - House","85000000","0","3","0","0","9 Aana House For Sale In Chandol","Kiran Chok, Dhumbarahi, Kathmandu Metropolitan City, Kathmandu","27.72728157043457","85.33670043945312"
"Bunglow",,"3","For Sale - House","35000000","6","3","2","2","Brand New Semi Bunglow For Sale at Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"0","For Sale - House","85000000","0","3","0","0","9 Aana House For Sale In Chandol","Kiran Chok, Dhumbarahi, Kathmandu Metropolitan City, Kathmandu","27.72728157043457","85.33670043945312"
"HouseIndividual",,"1","For Rent - Flat & Apartment","11000","2","Ground",,"0","2BK Flat Rent in Matatirtha, Chandragiri,Kathmandu","Matatirtha Marg, Kathmandu, Kathmandu","27.697124481201172","85.28984832763672"
"House - Individual",,"3","For Sale - House","140000000","6","3","2","2","Land With House On Sale at Pasikot, Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"3","For Sale - House","39000000","4","2.5","1","2","House For Sale At Bhaisepati","Bhaisepati, Kirtipur-6, Kathmandu","0","0"
"Bunglow",,"2","For Sale - House","47500000","6","3","1","2","Brand New Bunglow House On Sale at Ganesh Chowk","Location","27.717199325561523","85.3239974975586"
"House - Semi Commercial",,,"For Rent - Office Space","180000",,"1",,,"Office Space For Rent At Kupondole","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"2","For Sale - House","104500000","6","3","2","2","Furnished Royal Bunglow For Sale at Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","7000000",,,,,"residential Land on Sale at Basundhara,GJBLOS 3627","Basundhara Kirana Pasal, Kathmandu-1, Kathmandu","27.714069366455078","85.32576751708984"
"LandIndividual",,,"For Sale - Land","5500000",,,,,"Land for Sale in Sundarbasti Vhangal Budhanilkanth","Mathilo Vhangal Toll Sudhar Samati, Budhanilakantha-8, Kathmandu","27.76119041442871","85.35619354248047"
"Bunglow",,"2","For Sale - House","75000000","5","3","1","2","Mini Colony Houses For Sale at Ganesh Chowk","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"4","For Sale - House","49900000","7","4","3","3","Land With House For Sale at Satungal, Chandragiri","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"1","For Rent - Flat & Apartment","17000","2","Ground",,"0","2BK Flat Rent in Balaju, Boharatar, Kathmandu","Balaju Bohoratar, Thapagaun Marg, Kathmandu-16, Kathmandu","27.73370933532715","85.29296112060547"
"HouseIndividual",,"4","For Sale - House","43000000","4","3","2","2","House For Sale At Nakhipot","Nakhipot, Jambu Marg, Lalitpur-14, Lalitpur","0","0"
"Apartment Building",,"2","For Sale - Apartment","25500000","3","7","1","1","3bhk Lavished Apartment Sale At Hattiban, Lalitpur","Airawa Tol, Hattiban, Lalitpur, Lalitpur Metropolitan City, Lalitpur","0","0"
"Commercial Building",,"7","For Sale - House","160000000","15","4","3","3","Brand New Commercial Building On Sale at Samakhusi","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"3","For Sale - House","600000","4","2.5","1","1","House for sale at Budanilkantha, Kathmandu","Budanilkantha Hp_kathmandu, Kathmandu-9, Kathmandu","27.695999145507812","85.35359954833984"
"LandIndividual",,,"For Sale - Land","6500000",,,,,"Land On Sale At Chandol ","Chandol Dhungedhara, Kathmandu-4, Kathmandu","27.7273006439209","85.33683013916016"
"House - Individual",,"3","For Sale - House","29900000","6","3","3","3","New House For Sale at Tokha, Bhatkeko Pul","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"4","For Sale - House","39000000","6","2.5","2","2","House For Sale At Khumaltar","Khumaltar Micro Park, Lalitpur-15, Lalitpur","0","0"
"House - Individual",,"3","For Rent - House","100000","10","1","2","1","House For Rent At Bhaisepati Khokana Dobato","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"3","For Rent - House","160000","7","2.5","2","1","house on rent at chandol european bekary ","European Bakery, Lamatangin Marga, Kathmandu-4, Kathmandu","27.724910736083984","85.33136749267578"
"House - Individual",,"2","For Sale - House","30500000","7","3","1","1","House For Sale at Kupandol, Lalitpur","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"3","For Sale - House","25500000","4","2.5","2","2","HOUSE FOR SALE IN HARISIDDHI HEIGHT LALITPUR ","Harisiddhi, Lalitpur-23, Lalitpur","27.645639419555664","85.3327865600586"
"Land - Plotted",,,"For Sale - Land","3300000",,,,,"Naturally Beautiful Ghaderi Land Sale at Dhapakhel","Chautara- Harishiddi Marg, Dhapakhel, Lalitpur, Lalitpur Metropolitan City, Lalitpur","0","0"
"Land - Individual",,,"For Sale - Land","75",,,,,"Land for sale nearby lazimpat- baluwatar","Location","27.724573135375977","85.33098602294922"
"HouseIndividual",,"5","For Sale - House","31500000","5","2.5","2","1","House For Sale At Hattiban","Hattiban, Mahalaxmi-4, Lalitpur","0","0"
"House - Individual",,"4","For Rent - House","150000","6","3","1","2","House For Rent at Hattigauda, Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"HouseInColony",,"2","For Sale - House","13000000","2","1","1","1","1 stories house sale on futung faat Kathmandu ","Futung Nagpokhari, Tarakeshwar, Kathmandu, रत्नपार्क-फुटुङ सडक, Tarakeshwor-9, Kathmandu","27.759838104248047","85.31034088134766"
"Shop - Mobile",,,"Business & Shop For Sale","375000",,,,,"mobile shop","Location","27.760845184326172","85.3520736694336"
"HouseIndividual",,"4","For Rent - House","210000","5","2.5","1","1","house on rent at baluwatar ","Baluwatar, Jhapa-2, Jhapa","26.491519927978516","87.8448715209961"
"HouseIndividual",,,"For Rent - Office Space","600000",,"5",,,"Commercial space for rent at Uttardhoka, Kathmandu","Uttar Dhoka Road, Kathmandu, Kathmandu","27.718032836914062","85.3182373046875"
"House - Individual",,"3","For Sale - House","32500000","5","3","2","2","Furnished House For Sale at Imadol, Lalitpur","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"6","For Sale - House","39000000","6","2.5","22","2","House For Sale At Dholahity","Dholahiti Bus Station, Thecho Chapagaun Road, Lalitpur-26, Lalitpur","27.64031982421875","85.31845092773438"
"HouseIndividual",,"1","For Rent - Flat & Apartment","20000","2","GROUND FLOOR",,"1","DHUMBARAHI 2BHK FLAT FOR RENT BIKE P,S","Dhumbarahi Dry Cleaners, Dhumbharai Marg, Kathmandu-4, Kathmandu","27.722639083862305","85.33854675292969"
"HouseIndividual",,"3","For Sale - House","100000000","-","2.5","-","-","HOUSE FOR SALE IN BANESHWOR KATHMANDU ","Baneshwor Arc Bridge, Bijulibazar Bridge, Kathmandu-11, Kathmandu","27.69049072265625","85.32846069335938"
"Bunglow",,"2","For Sale - House","85000000","6","3","1","1","Bunglow House For Sale at Bhaisepati, Lalitpur","Location","27.717199325561523","85.3239974975586"
"LandPlotted",,,"For Sale - Land","12000000",,,,,"4 Aana land sale on futung","Futung Hp_kathmandu, Kathmandu-9, Kathmandu","27.695999145507812","85.35359954833984"
"Bunglow",,"3","For Sale - House","35000000","5","3","1","2","Bunglow House For Sale at Thecho, Lalitpur","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"1","For Rent - Flat & Apartment","30000","2","Third",,"1","2BHK Flat Rent in Bansbari, Kathmandu","Bansbari Kathamandu, Kathmandu-3, Kathmandu","27.744150161743164","85.3392333984375"
"LandIndividual",,,"For Sale - Land","1900000",,,,,"ललितपुरमा सस्तो जग्गा बिक्रीमा! – १९ लाख प्रति आना","Lalitpur-22, Lalitpur,  Bagmati Pradesh","0","0"
"House - Individual",,"3","For Sale - House","32500000","5","3","2","2","Brand New House For Sale at Imadol, Lalitpur","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"2","For Sale - House","35000000","5","2","1","2","Brand New Bunglow House On Sale at Bhaisepati","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Rent - Land","285000",,,,,"LAND ON SALE - WhatsApp : 9814366997.","Sundarharaicha-6, Morang,  Koshi Pradesh","26.662918090820312","87.31055450439453"
"HouseIndividual",,"1","For Rent - Flat & Apartment","28000","2","1ST FLOOR",,"1","GOLFUTAR 2BHK FLAT FOR RENT","Golfutar Eye Hospital _ Kathmandu, Kathmandu-9, Kathmandu","27.695999145507812","85.35359954833984"
"HouseIndividual",,"4","For Sale - House","43500000","4","3","2","1","House For Sale At  Iamdol","Imadol, Gwarko-Lamatar, Mahalaxmi-2, Lalitpur","0","0"
"Land - Individual",,,"For Sale - Land","12500000",,,,,"3.58 Aana land For Sale Budhanilkantha","Budhanilkantha, Budhanilkantha Municipality, Kathmandu","27.76626205444336","85.35539245605469"
"HouseIndividual",,"4","For Rent - House","75000","3","3","1","2","Whole House on Rent- Kalanki","Maitrinagar, Sahid Basu Smriti Marg, Kirtipur-2, Kathmandu","27.68561363220215","85.27548217773438"
"HouseIndividual",,"4","For Rent - House","220000","6","2.5","1","1","Furnished House for rent at Baluwatar, Kathmandu","Baluwatar Travels, Kathmandu-4, Kathmandu","27.722570419311523","85.3320083618164"
"Bunglow",,"2","For Sale - House","49900000","7","3","2","2","House For Sale at Baluwakhani, Kapan","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"1","For Rent - Flat & Apartment","27000","2","Ground floor ",,"1","Brand new2bhkflat for rent, Car parking available ","Thaikot,  Mahalaxmi-5, Lalitpur,  Bagmati Pradesh","27.653728485107422","85.36095428466797"
"House - Semi Commercial",,,"For Rent - Office Space","36000",,"2",,,"Flat On Rent","Mercure Kathmandu, काठमाडाैँ चक्रपथ, Anandanagar, Chappal Karkhana, Kathmandu Metropolitan City, Kathmandu","27.727651596069336","85.34536743164062"
"Bunglow",,"4","For Sale - House","49900000","10","4","3","3","Semi Bunglow For Sale at Aakashedhara, Kapan","Location","27.717199325561523","85.3239974975586"
"LandPlotted",,,"For Sale - Land","18",,,,,"4aana Land Chapagaun Bajrabarai ","Chapagaun Lalitpur, Lalitpur-19, Lalitpur","27.67141342163086","85.32319641113281"
"House - Individual",,"4","For Rent - House","275000","7","3","1","1","House on rent at Marajgung, Chundevi area KTM.","Location","27.705524444580078","85.34176635742188"
"House - Individual",,"3","For Sale - House","21000000","8","3","2","2","House For Sale at Baluwakhani, Kapan","Location","27.717199325561523","85.3239974975586"
"House - Semi Commercial",,"4","For Sale - House","32000000","7","3","2","2","Brand New Commercial House On Sale at Samakhusi","Location","27.703535079956055","85.32947540283203"
"Bunglow",,"5","For Rent - House","135000","4","3","1","1","House on rent at Budhanilkantha, Man area KTM.","Location","27.717199325561523","85.3239974975586"
"House In a Colony",,"2","For Sale - House","30000000","3","3","1","1","🏡 House for Sale at Thaiba Comfort Housing","Location","27.629825592041016","85.34764099121094"
"House - Individual",,"7","For Sale - House","53000000","8","5","5","4","House for Sale","Location","27.716527938842773","85.32301330566406"
"Others",,"20","For Sale - Commercial Building","20000000","0","9","4","0","well running Mall for sale in Kathmandu","Location","27.720096588134766","85.30432891845703"
"Bunglow",,"3","For Sale - House","104500000","6","4","2","2","Bunglow House For Sale at Budhanilkantha, Badeli","Location","27.717199325561523","85.3239974975586"
"House - Semi Commercial",,"8","For Rent - House","250000","10","4","2","2","House on rent at Baluwatar, Man road KTM.","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"3","For Sale - House","104000000","8","1","1","1","Bunglow For Sale At Sanchal","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","5500000",,,,,"Battisputali Land on Sale","Battisputali, Kathmandu-9, Kathmandu","27.70652961730957","85.34264373779297"
"House - Individual",,"2","For Rent - Flat & Apartment","70000","3","0",,"1","3bkh nearby baluwatar Kathmandu","Location","27.72606086730957","85.33062744140625"
"House - Individual",,"4","For Sale - House","29900000","7","3","2","2","House For Sale at Sukedhara, Kathmandu","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","7200000",,,,,"Maitidevi Land On Sale","Maitidevi, Dillibazar Sadak, Kathmandu-29, Kathmandu","27.70423698425293","85.33172607421875"
"Bunglow",,"3","For Sale - House","72700000","6","3","1","2","Brand New Bunglow House On Sale at Hepali Height","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","4000000",,,,,"Magargaun, Land on sale","Magar Gaun Marg","27.695152282714844","85.33329010009766"
"House - Individual",,"4","For Sale - House","65000000","8","3","2","2","House For Sale at Dhumbarahi, Near PipalBot","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","5000000",,,,,"Hattigauda, Land on sale","Hattigauda, Golphutar Main Sadak, Budhanilakantha-7, Kathmandu","27.755348205566406","85.34786224365234"
"HouseIndividual",,"3","For Rent - House","300000","4","2.5","1","1","Furnished House for rent at Maharajgunj, KTM","Maharajgunj Post Office, Kathmandu-3, Kathmandu","27.73417091369629","85.32952880859375"
"House - Individual",,"3","For Sale - House","35000000","4","3","1","1","House For Sale at Dhumbarahi, Near Apartment","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"2","For Rent - Office Space","30000","3","Ground ","1","1","3BHK, 1000 sqft Office Space For Rent in Bafal","Bafal, Kathmandu-13, Kathmandu","27.70359992980957","85.30127716064453"
"Bunglow",,"2","For Sale - House","99900000","6","4","2","2","Bunglow House For Sale at Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"ApartmentBuilding",,"2","For Rent - Flat & Apartment","90000","2","3",,"1","JHAMSIKHEL – 2BHK FURNISHED APARTMENT FOR RENT","Jhamsikhel, Lalitpur-3, Lalitpur","27.682859420776367","85.30198669433594"
"House - Individual",,"4","For Sale - House","55000000","12","4","3","3","House For Sale at Samakhusi, MahadevTar Height","Location","27.717199325561523","85.3239974975586"
"HouseInColony",,"4","For Rent - House","150000","4","2,5","1","1","📍 SUNAKOTHI – FULLY FURNISHED HOUSE FOR RENT","Sunakothi, Lalitpur-25, Lalitpur","27.6345157623291","85.31547546386719"
"ApartmentBuilding",,"1","For Rent - Flat & Apartment","100000","1","3",,"1","📍 JHAMSIKHEL | 1 BHK FURNISHED APARTMENT FOR RENT","Jhamsikhel, Lalitpur-3, Lalitpur","27.682859420776367","85.30198669433594"
"HouseIndividual",,,"For Rent - Office Space","2400000",,"4",,,"Commercial space for rent at Baluwatar, Kathmandu","Baluwatar Travels, Kathmandu-4, Kathmandu","27.722570419311523","85.3320083618164"
"LandPlotted",,,"For Sale - Land","1900000",,,,,"Land sale in jharuwarasi urgent","Jharuwarasi Hp, Lalitpur-15, Lalitpur","27.666500091552734","85.32360076904297"
"ApartmentBuilding",,"3","For Rent - Flat & Apartment","200000","3","3",,"1","📍 BALUWATAR – LUXURIOUS 3 BHK APARTMENT FOR RENT","Baluwatar-4, Kathmandu-4, Kathmandu","27.730609893798828","85.33106231689453"
"Bunglow",,"3","For Sale - House","65000000","5","3","1","2","Brand New Bunglow House On Sale at Tokha","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"3","For Sale - House","11000000","3","3","2","2","House for sale in rajako chautaro , pokhara .","Gandaki University Research Center, Pokhara Lekhnath-32, Kaski","28.11104965209961","84.0986099243164"
"LandIndividual",,,"For Sale - Land","8500000",,,,,"Bagbazar, land on sale","Bagbazar, Bala Marg, Kathmandu-28, Kathmandu","27.70465850830078","85.3194351196289"
"ApartmentBuilding",,"1","For Rent - Flat & Apartment","165000","1","3",,"1","MAHARAJGUNJ, 1 BHK FURNISHED APARTMENT FOR RENT","Maharajgunj, Maharajganj Sadak, Kathmandu-3, Kathmandu","27.738969802856445","85.33609771728516"
"HouseIndividual",,"4","For Rent - House","140000","4","2,5","1","1","📍BUDHANILKANTHA DEUBA NIWAS AREA 4 BHK HOUSE RENT","Budhanilkantha, Budhanilakantha-8, Kathmandu","27.75763511657715","85.35592651367188"
"HouseIndividual",,,"For Rent - Office Space","1100000",,"5",,,"Commercial space for rent at Panipokhari,KTM","Panipokhari, Kathmandu-3, Kathmandu","27.728099822998047","85.32405853271484"
"House - Individual",,"3","For Sale - House","18000000","5","3","2","1","New House For Sale at Manamaiju, Near Mandir","Location","27.717199325561523","85.3239974975586"
"House - Semi Commercial",,"4","For Sale - House","32500000","7","3","2","2","Brand New Commercial House On Sale at Manamaiju","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"4","For Rent - House","150000","4","2.5","1","1","House for rent at Budanilkantha, Kathmandu","Budanilkantha, Budhanilakantha-1, Kathmandu","27.778169631958008","85.36434173583984"
"LandIndividual",,,"For Sale - Land","2500000",,,,,"Land For Sale at Kritipur; Jhulpokhari","Kritipur Futstal, Kirtipur-10, Kathmandu","27.679609298706055","85.28147888183594"
"House - Individual",,"3","For Sale - House","20000000","5","3","2","2","Brand New House On Sale at Pasikot, Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","2300000",,,,,"Sanogaun, land on sale","Sanogaun Global Food Village, Lalitpur-3, Lalitpur","27.6818904876709","85.30577087402344"
"LandIndividual",,,"For Sale - Land","4500000",,,,,"Land on sale Pepsicola","Pepsicola, Bafal Marg, Kathmandu-13, Kathmandu","27.701099395751953","85.28578186035156"
"House - Individual",,"4","For Sale - House","25000000","6","3","2","2","House For Sale at Chyasundole, Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"2","For Rent - Flat & Apartment","50000","3","TOP FLOOR",,"1","BANSBARI 3BHK 2BATHROONS TOP FLOORFOR RENTA CAR P,","Bansbari Sadak","27.742446899414062","85.3393783569336"
"House - Individual",,"3","For Sale - House","27500000","6","3","2","2","House On Sale at Manamaiju, ThapaGaun Pul","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","6200000",,,,,"Land for Sale at Sorhakhutte","Sorhakhutte Coffeetearia, Kathmandu-16, Kathmandu","27.71820068359375","85.30963134765625"
"House - Individual",,"3","For Sale - House","21000000","7","3","3","2","House For Sale at Manamaiju, Near Mandir","Location","27.717199325561523","85.3239974975586"
"House - Individual",,"4","For Sale - House","36500000","6","3","3","3","House For Sale at Manamaiju, Tarkeshwar","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","2600000",,,,,"Srijana Chwok, Land on sale","Srijanachowk, Dahachowk, Chandragiri-1, Kathmandu","27.698572158813477","85.2399673461914"
"Land - Individual",,,"For Sale - Land","6500000",,,,,"6 Anna Land For Sell At Kapan Tenzin Chock","Tenzing Chok, Kathmandu Metropolitan City, Budhanilkantha Municipality, Kathmandu","27.72861671447754","85.36015319824219"
"House - Individual",,"5","For Rent - House","200000","5","3","1","1","house for rent at jamsikhel","Location","27.732263565063477","85.34424591064453"
"LandIndividual",,,"For Sale - Land","4500000",,,,,"Nakhkhu,land on sale","Nakhkhu, Lalitpur-25, Lalitpur","27.66254997253418","85.30715942382812"
"House - Individual",,"7","For Sale - House","115000001","9","3","3","3","house for sale thame capoordhara lainchur","Location","27.718862533569336","85.3127212524414"
"LandIndividual",,,"For Sale - Land","6000000",,,,,"Budhanikantha, Land on sale","Budhanikantha Entry Gate, Budhanilakantha-3, Kathmandu","27.776880264282227","85.36222076416016"
"LandIndividual",,,"For Sale - Land","5000000",,,,,"Bouddha,Land on sale","Bouddha, Kathmandu-6, Kathmandu","27.72003936767578","85.3570327758789"
"House - Individual",,"3","For Sale - House","18000000","7","3","3","2","House For Sale at Manamaiju, ThapaGaun Pul","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","4000000",,,,,"Godwari,Land on sale","Godwari Udhog Banijya Sangh, Godawari-11, Lalitpur","27.597000122070312","85.32353973388672"
"HouseIndividual",,"2","For Rent - Flat & Apartment","75000","4","1",,"1","Flat available on rent ","Kupondole Rd, Kupondol Marg, Lalitpur-10, Lalitpur","27.68708038330078","85.31709289550781"
"House - Individual",,"1","For Rent - House","65000","5","1","1","0","flat to rant kamalpokhari","Location","27.710664749145508","85.32464599609375"
"LandIndividual",,,"For Sale - Land","3000000",,,,,"Namuna basti,Land on sale","Namuna Basti, Gokarneshwor-3, Kathmandu","27.74757957458496","85.3843994140625"
"HouseIndividual",,"2","For Rent - Flat & Apartment","35000","3","1",,"1","3 BHK semi furnished flat for rent at Bagdol lalit","Bagdol, Lalitpur-4, Lalitpur","27.669660568237305","85.30352020263672"
"ApartmentBuilding",,"3","For Sale - Apartment","25500000","3","3","1","1","Furnished 3 BHK Flat in panipokhari, maharajgunj","Maharajunj, Kathmandu-3, Kathmandu","0","0"
"LandIndividual",,,"For Sale - Land","800000",,,,,"Urgent !!! Land Sale in Pachkhal , Kavrepalanchowk","Pachkhal Municipility, Panchkhal-4, Kabhrepalanchok","27.649736404418945","85.61377716064453"
"House - Individual",,"3","For Sale - House","43000000","6","3","2","2","Brand New House On Sale at Bhangal, Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","800000",,,,,"Urgent !!! Land Sale in Pachkhal , Kavrepalanchowk","Pachkhal Municipility, Panchkhal-4, Kabhrepalanchok","27.649736404418945","85.61377716064453"
"Bunglow",,"2","For Sale - House","57000000","6","3","2","2","Brand New Semi Bunglow House On Sale at Bhangal","Location","27.717199325561523","85.3239974975586"
"Land - Commercial Use",,,"For Sale - Land","3000000",,,,,"aanako 30 lakhle dhapasi height ma 10 aana ekmusta","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"4","For Rent - House","322000","5","2.5","1","1","JHAMSIKHEL – 5BHK HOUSE RENT ","Jhamsikhel, Lalitpur-3, Lalitpur","27.682859420776367","85.30198669433594"
"HouseIndividual",,"1","For Rent - Flat & Apartment","13000","2","1",,"1","2 room Flat for rent at Sagbari, Kaushaltar","Kaushaltar-Balkot, Suryabinayak, Bhaktapur","27.667083740234375","85.36624908447266"
"Bunglow",,"4","For Sale - House","42000000","6","3","2","2","Brand New Semi Bunglow House On Sale at Bhangal","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"4","For Rent - House","200000","4","2","1","1","❇️Whole house on rent at jhamsikhel","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"2","For Sale - House","39000000","4","3","1","2","Brand New Bunglow House On Sale at Bhangal","Location","27.717199325561523","85.3239974975586"
"Bunglow",,"4","For Rent - House","200000","4","2","1","1","❇️Whole house on rent at jhamsikhel","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","1200000",,,,,"Urgent Land sale in chitwan only 12 lakh","Narayangarh, Bharatpur-1, Chitawan","27.698890686035156","84.4303970336914"
"LandIndividual",,,"For Sale - Land","20500000",,,,,"Gothatar, land on sale","Gothatar, Kageshwori Manahora-9, Kathmandu","27.703109741210938","85.36930084228516"
"Bunglow",,"3","For Sale - House","49900000","7","3","5","2","Brand New Semi Bunglow House On Sale at Bhangal","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","2000000",,,,,"Land on sale , Bhaktapur, Khanal Chowk","Bhaktapur, Madhyapur Thimi-5, Bhaktapur","27.67732048034668","85.39781951904297"
"Bunglow",,"3","For Sale - House","42500000","6","3","2","2","Brand New Semi Bunglow House On Sale at Bhangal","Location","27.717199325561523","85.3239974975586"
"HouseIndividual",,"1","For Rent - Flat & Apartment","32000","2","1st",,".","JHAMSIKHEL – 2BK FLAT WITH TERRACE RENT ","Jhamsikhel, Lalitpur-3, Lalitpur","27.682859420776367","85.30198669433594"
"Bunglow",,"3","For Sale - House","44500000","6","3","2","2","Brand New Semi Bunglow House On Sale at Bhangal","Location","27.717199325561523","85.3239974975586"
"ApartmentBuilding",,"1","For Rent - Flat & Apartment","75000","1","1",,"1","JHAMSIKHEL – 2BHK FURNISHED APARTMENT RENT","Jhamsikhel, Lalitpur-3, Lalitpur","27.682859420776367","85.30198669433594"
"HouseIndividual",,"2","For Rent - Flat & Apartment","30000","2","1",,"1","2 BHK Flat for rent at Hattiban lalitpur ","Hattiban Heights, Lalitpur-28, Lalitpur","27.647279739379883","85.34139251708984"
"Bunglow",,"2","For Rent - House","299000","7","1","1","2","Bunglow House On Rent at Budhanilkantha","Location","27.717199325561523","85.3239974975586"
"LandIndividual",,,"For Sale - Land","5500000",,,,,"Sanothimi,Land on sale","Sano Thimi, Madhyapur Thimi-2, Bhaktapur","27.682809829711914","85.37101745605469"
"ApartmentBuilding",,"2","For Rent - Flat & Apartment","110000","2","3rd",,"1","JHAMSIKHEL – 2BHK FURNISHED APARTMENT RENT","Jhamsikhel, Lalitpur-3, Lalitpur","27.682859420776367","85.30198669433594"
